"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Ckm"	1.91293242186482e-84	-3.17761130908224	0.624	0.717	3.82586484372964e-81	"0"	"Ckm"
"Ddit4l"	3.34956058083393e-84	-0.670119887079159	0.126	0.453	6.69912116166786e-81	"0"	"Ddit4l"
"Apobec2"	1.12577488362249e-82	-1.00476796172387	0.183	0.506	2.25154976724499e-79	"0"	"Apobec2"
"Il1b"	1.58615595310046e-82	-0.902595170697709	0.24	0.407	3.17231190620092e-79	"0"	"Il1b"
"Cox6c"	9.25988272234497e-82	-0.827362336442335	0.953	0.919	1.85197654446899e-78	"0"	"Cox6c"
"Trdn"	2.47974555837961e-73	-0.621017788727395	0.251	0.522	4.95949111675921e-70	"0"	"Trdn"
"H2-Eb1"	3.6249882389905e-73	-1.11948289887808	0.175	0.424	7.249976477981e-70	"0"	"H2-Eb1"
"Rpl3l"	5.29014460826456e-73	-0.874464744009641	0.19	0.505	1.05802892165291e-69	"0"	"Rpl3l"
"Gapdh"	1.3350718896085e-72	-1.54699861188506	0.975	0.984	2.670143779217e-69	"0"	"Gapdh"
"Tspan13"	6.68956448089539e-72	-0.548947376949664	0.022	0.338	1.33791289617908e-68	"0"	"Tspan13"
"Egfl7"	8.54434647145447e-71	-1.01194664070614	0.036	0.312	1.70886929429089e-67	"0"	"Egfl7"
"Nexn"	1.3272876559487e-67	-0.581932951222526	0.398	0.659	2.65457531189741e-64	"0"	"Nexn"
"H2-Ab1"	2.78802188442903e-67	-1.18940056195792	0.105	0.371	5.57604376885807e-64	"0"	"H2-Ab1"
"Lyz2"	5.28675272785552e-67	-1.77622817248872	0.159	0.414	1.0573505455711e-63	"0"	"Lyz2"
"Cd36"	1.25901255566756e-66	-0.513768538839842	0.033	0.335	2.51802511133511e-63	"0"	"Cd36"
"Cystm1"	1.26315946486538e-65	-0.600036571196227	0.38	0.616	2.52631892973076e-62	"0"	"Cystm1"
"Cox5a"	1.25468143538721e-63	-1.32151103443562	0.812	0.792	2.50936287077441e-60	"0"	"Cox5a"
"Cox5b"	2.44089668960798e-63	-0.822511294264769	0.882	0.835	4.88179337921596e-60	"0"	"Cox5b"
"Eno3"	2.93935873291936e-57	-2.58292119541359	0.274	0.511	5.87871746583872e-54	"0"	"Eno3"
"Tpi1"	1.42529185378185e-54	-1.33467934613548	0.669	0.806	2.85058370756371e-51	"0"	"Tpi1"
"Uqcr11"	1.41901408457474e-53	-0.782188047103146	0.843	0.822	2.83802816914948e-50	"0"	"Uqcr11"
"Cd74"	1.89103819002564e-53	-2.05747184839585	0.217	0.449	3.78207638005127e-50	"0"	"Cd74"
"Prg4"	5.40745915156119e-53	-0.622678176350378	0.321	0.545	1.08149183031224e-49	"0"	"Prg4"
"Usmg5"	1.118198468604e-51	-0.862214516140338	0.779	0.757	2.236396937208e-48	"0"	"Usmg5"
"Mustn1"	2.85528067308781e-49	-0.973764718925861	0.156	0.479	5.71056134617561e-46	"0"	"Mustn1"
"Aldoa"	2.025238030194e-48	-2.00300654730241	0.951	0.924	4.05047606038799e-45	"0"	"Aldoa"
"Cdh5"	9.17078842503229e-47	-0.79101934211455	0.014	0.279	1.83415768500646e-43	"0"	"Cdh5"
"Atp5k"	4.83325282945616e-46	-0.950801727354466	0.879	0.912	9.66650565891232e-43	"0"	"Atp5k"
"Cycs"	7.91462073103623e-45	-1.12626542743151	0.74	0.773	1.58292414620725e-41	"0"	"Cycs"
"Pecam1"	1.41928304509175e-44	-0.908100206021568	0.037	0.295	2.8385660901835e-41	"0"	"Pecam1"
"Uqcrq"	4.23790579653265e-44	-0.968960709762282	0.849	0.809	8.4758115930653e-41	"0"	"Uqcrq"
"Pvalb"	9.94666220544131e-44	-2.28410401013955	0.298	0.518	1.98933244108826e-40	"0"	"Pvalb"
"Fn1"	1.0853461620151e-42	-0.905524566633501	0.571	0.713	2.1706923240302e-39	"0"	"Fn1"
"Atp5a1"	1.11153624020998e-42	-0.602413457077455	0.872	0.807	2.22307248041997e-39	"0"	"Atp5a1"
"Col14a1"	1.31382786053242e-42	-0.640633318913666	0.46	0.681	2.62765572106483e-39	"0"	"Col14a1"
"Aqp1"	8.38359366014471e-42	-0.692244062510062	0.091	0.332	1.67671873202894e-38	"0"	"Aqp1"
"Uqcr10"	2.68711289274188e-41	-0.77585622335109	0.888	0.805	5.37422578548376e-38	"0"	"Uqcr10"
"Tcea3"	2.11699887528203e-39	-0.93385337588375	0.461	0.678	4.23399775056406e-36	"0"	"Tcea3"
"2310065F04Rik"	1.59403955670005e-38	-0.574498509733913	0.208	0.327	3.1880791134001e-35	"0"	"2310065F04Rik"
"Ugdh"	2.60016786630261e-38	-0.648399938331139	0.668	0.523	5.20033573260523e-35	"0"	"Ugdh"
"Ndufb8"	5.16099504921234e-38	-0.83680365693674	0.786	0.742	1.03219900984247e-34	"0"	"Ndufb8"
"Tpm2"	1.94825416772149e-37	-2.57079033714406	0.405	0.551	3.89650833544298e-34	"0"	"Tpm2"
"Slc25a4"	1.1444341863171e-35	-1.53311537257242	0.939	0.865	2.28886837263421e-32	"0"	"Slc25a4"
"Atp5g1"	2.86710500050202e-34	-1.28820073304576	0.844	0.822	5.73421000100404e-31	"0"	"Atp5g1"
"Cryab"	3.17570484038922e-34	-0.944876620921463	0.74	0.841	6.35140968077844e-31	"0"	"Cryab"
"Flt1"	2.8812440014243e-33	-0.744817089715289	0.021	0.28	5.7624880028486e-30	"0"	"Flt1"
"Scn1b"	3.17875228056287e-33	-0.560329989853428	0.569	0.747	6.35750456112573e-30	"0"	"Scn1b"
"Vdac1"	3.50743789738469e-32	-1.03054800680106	0.781	0.866	7.01487579476939e-29	"0"	"Vdac1"
"Palmd"	6.22652325130494e-32	-0.628656043359056	0.068	0.353	1.24530465026099e-28	"0"	"Palmd"
"Ndufb5"	8.2453014579951e-30	-0.849760950104453	0.759	0.725	1.64906029159902e-26	"0"	"Ndufb5"
"2010107E04Rik"	1.47332537703859e-29	-0.776639620864568	0.835	0.77	2.94665075407719e-26	"0"	"2010107E04Rik"
"Tmem38a"	1.47845991489618e-29	-0.637171270452944	0.165	0.428	2.95691982979235e-26	"0"	"Tmem38a"
