"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Mfap5"	0	1.78805002776385	0.996	0.711	0	"1"	"Mfap5"
"Sema3c.1"	0	1.7666032288997	0.945	0.501	0	"1"	"Sema3c"
"C3"	0	1.73241858803964	0.925	0.323	0	"1"	"C3"
"Cd248.1"	0	1.65446074872288	0.981	0.561	0	"1"	"Cd248"
"Col14a1.1"	0	1.65239091614804	0.969	0.566	0	"1"	"Col14a1"
"Gfpt2"	0	1.64980526804037	0.943	0.62	0	"1"	"Gfpt2"
"Anxa3.1"	0	1.60771677856063	0.981	0.49	0	"1"	"Anxa3"
"Pcsk6"	0	1.58797180102604	0.974	0.604	0	"1"	"Pcsk6"
"Procr.1"	0	1.58669968486068	0.894	0.271	0	"1"	"Procr"
"Fstl1.1"	0	1.52081947443668	1	0.776	0	"1"	"Fstl1"
"Uap1"	0	1.51918321598464	0.964	0.512	0	"1"	"Uap1"
"Dpp4.1"	0	1.45305616590932	0.944	0.496	0	"1"	"Dpp4"
"Anxa1"	0	1.44100690826048	0.983	0.704	0	"1"	"Anxa1"
"Ackr3"	0	1.43428711192249	0.965	0.404	0	"1"	"Ackr3"
"Pla1a"	0	1.43323401779406	0.938	0.448	0	"1"	"Pla1a"
"Tmem100.1"	0	1.41454699032582	0.904	0.527	0	"1"	"Tmem100"
"Timp2"	0	1.37957524369836	0.998	0.798	0	"1"	"Timp2"
"Dpt.1"	0	1.369111808463	0.995	0.715	0	"1"	"Dpt"
"Ecm1"	0	1.36907619248484	0.969	0.469	0	"1"	"Ecm1"
"Adamts5.1"	0	1.34431456180987	0.998	0.731	0	"1"	"Adamts5"
"Efhd1.1"	0	1.32636195234876	0.885	0.424	0	"1"	"Efhd1"
"Fndc1.1"	0	1.31322143324345	0.987	0.719	0	"1"	"Fndc1"
"Axl"	0	1.31278432477458	0.981	0.661	0	"1"	"Axl"
"Adgrd1"	0	1.22934460265764	0.935	0.557	0	"1"	"Adgrd1"
"Lrrn4cl.1"	0	1.19677913686021	0.983	0.675	0	"1"	"Lrrn4cl"
"Scara5"	0	1.1856689367778	0.948	0.639	0	"1"	"Scara5"
"Creb5"	0	1.18266078123474	0.952	0.647	0	"1"	"Creb5"
"Aspn"	0	1.17255169402744	0.921	0.55	0	"1"	"Aspn"
"Stmn4.1"	0	1.16052219022715	0.844	0.374	0	"1"	"Stmn4"
"Emilin2"	0	1.15815495148273	0.939	0.613	0	"1"	"Emilin2"
"Nov"	0	1.13277278446899	0.876	0.562	0	"1"	"Nov"
"Ifi27l2a.1"	0	1.08046580851101	0.832	0.524	0	"1"	"Ifi27l2a"
"Zfp385a"	0	1.0804227868475	0.892	0.518	0	"1"	"Zfp385a"
"Qpct"	0	1.0688482484341	0.925	0.332	0	"1"	"Qpct"
"Gas7"	0	1.06431286361375	0.854	0.564	0	"1"	"Gas7"
"Cadm3"	0	1.05912840232105	0.833	0.182	0	"1"	"Cadm3"
"Vcan.1"	0	1.05128132406521	0.935	0.632	0	"1"	"Vcan"
"Klf4"	0	1.02839309980065	0.993	0.69	0	"1"	"Klf4"
"Hn1.1"	0	1.02109554650187	0.946	0.616	0	"1"	"Hn1"
"Ppp1r14b.1"	0	1.00985124881502	0.968	0.863	0	"1"	"Ppp1r14b"
"Ddr2"	0	0.97805009731489	0.942	0.635	0	"1"	"Ddr2"
"Tgfbr2"	0	0.945349267396197	0.933	0.693	0	"1"	"Tgfbr2"
"Ahnak"	0	0.941693279844872	0.997	0.835	0	"1"	"Ahnak"
"Dbn1"	0	0.929725625703461	0.843	0.529	0	"1"	"Dbn1"
"Basp1"	0	0.920310148498498	0.865	0.632	0	"1"	"Basp1"
"Col3a1.1"	0	0.906904421803497	0.999	0.83	0	"1"	"Col3a1"
"Il33.1"	0	0.906342994485015	0.768	0.289	0	"1"	"Il33"
"Nupr1.1"	0	0.906312950584863	0.971	0.714	0	"1"	"Nupr1"
"Metrnl"	0	0.905986354903147	0.861	0.589	0	"1"	"Metrnl"
"Thy1.1"	0	0.904362445537204	0.822	0.522	0	"1"	"Thy1"
"Ahnak2"	0	0.876929408437556	0.844	0.544	0	"1"	"Ahnak2"
"Vasn"	0	0.872489644927261	0.848	0.548	0	"1"	"Vasn"
"Serpine2.1"	0	0.850405105401485	0.981	0.763	0	"1"	"Serpine2"
"Ifi205.1"	0	0.833664516483841	0.903	0.674	0	"1"	"Ifi205"
"Heg1"	0	0.825212798897093	0.899	0.387	0	"1"	"Heg1"
"1700019D03Rik"	0	0.823088656368578	0.806	0.502	0	"1"	"1700019D03Rik"
"Dact1"	0	0.821853612185543	0.792	0.297	0	"1"	"Dact1"
"Cmah"	0	0.8202086076647	0.735	0.201	0	"1"	"Cmah"
"Lgi2.1"	0	0.819449898247583	0.858	0.605	0	"1"	"Lgi2"
"Prrx1"	0	0.804907318059228	0.944	0.732	0	"1"	"Prrx1"
"Crip1"	0	0.749291190952557	0.995	0.776	0	"1"	"Crip1"
"Ogn.1"	0	0.74763151291603	0.978	0.754	0	"1"	"Ogn"
"Ntn4"	0	0.733178534232494	0.816	0.546	0	"1"	"Ntn4"
"Ifi204.1"	0	0.731776820125864	0.895	0.629	0	"1"	"Ifi204"
"Nhsl1"	0	0.729583361973149	0.754	0.281	0	"1"	"Nhsl1"
"Il18"	0	0.728963512624972	0.71	0.395	0	"1"	"Il18"
"Tmeff2"	0	0.726185562979212	0.749	0.192	0	"1"	"Tmeff2"
"Has2"	0	0.713596744394676	0.724	0.496	0	"1"	"Has2"
"Lsp1"	0	0.712772498052435	0.955	0.744	0	"1"	"Lsp1"
"Ablim1"	0	0.710975874210111	0.93	0.445	0	"1"	"Ablim1"
"Lurap1l"	0	0.66998248306475	0.694	0.237	0	"1"	"Lurap1l"
"Pamr1"	0	0.661008510392832	0.649	0.153	0	"1"	"Pamr1"
"Sod3.1"	0	0.651160939356025	0.86	0.486	0	"1"	"Sod3"
"Rorb"	0	0.616151042348784	0.647	0.372	0	"1"	"Rorb"
"Csf1"	0	0.612416458108611	0.881	0.635	0	"1"	"Csf1"
"Col1a1.1"	0	0.612380590073256	1	0.777	0	"1"	"Col1a1"
"Gpc6"	0	0.603003499686131	0.71	0.213	0	"1"	"Gpc6"
"Rhou"	0	0.600328849478243	0.714	0.497	0	"1"	"Rhou"
"Aif1l"	0	0.600009293764974	0.633	0.227	0	"1"	"Aif1l"
"Myof"	0	0.578240177866028	0.794	0.541	0	"1"	"Myof"
"Uchl1"	0	0.547325336617634	0.612	0.244	0	"1"	"Uchl1"
"Fgf18"	0	0.535034901579576	0.727	0.239	0	"1"	"Fgf18"
"Limch1.1"	0	0.520234430702745	0.781	0.289	0	"1"	"Limch1"
"Sparc.1"	8.53937825952631e-305	0.722051691414708	0.999	0.778	1.70787565190526e-301	"1"	"Sparc"
"Col1a2.1"	1.09459022584299e-303	0.679067201567668	0.999	0.768	2.18918045168598e-300	"1"	"Col1a2"
"Ptgs2"	3.6488024392179e-303	1.21466387155234	0.75	0.564	7.29760487843579e-300	"1"	"Ptgs2"
"Adamtsl3"	3.08860627667987e-299	0.645375998286112	0.75	0.497	6.17721255335973e-296	"1"	"Adamtsl3"
"Timp3"	3.14968560437978e-295	0.618761373068895	0.974	0.644	6.29937120875956e-292	"1"	"Timp3"
"Tnfsf9"	2.48706312220019e-294	0.717996409572513	0.638	0.257	4.97412624440038e-291	"1"	"Tnfsf9"
"Aebp1.1"	7.89087402227153e-290	0.720938845039661	0.906	0.687	1.57817480445431e-286	"1"	"Aebp1"
"Zyx"	1.29924413330679e-288	0.564314479042498	0.851	0.59	2.59848826661359e-285	"1"	"Zyx"
"Dact2"	1.81061016928964e-287	0.545144657491127	0.474	0.07	3.62122033857928e-284	"1"	"Dact2"
"Myoc"	1.54484590132008e-284	0.993036024666691	0.854	0.621	3.08969180264015e-281	"1"	"Myoc"
"Nbl1"	3.95995275043083e-284	0.509450415124787	0.87	0.413	7.91990550086165e-281	"1"	"Nbl1"
